Observation,y,x1,x2,x3,x4,x5,x6
1,6.75,2.8,4.68,4.87,0,8.4,4.916
2,13,1.4,5.19,4.5,0,6.5,4.563
3,14.75,1.4,4.82,4.73,0,7.9,5.321
4,12.6,3.3,4.85,4.76,0,8.3,4.865
5,8.25,1.7,4.86,4.95,0,8.4,3.776
6,10.67,2.9,5.16,4.45,0,7.4,4.397
7,7.28,3.7,4.82,5.05,0,6.8,4.867
8,12.67,1.7,4.86,4.7,0,8.6,4.828
9,12.58,0.92,4.78,4.84,0,6.7,4.865
10,20.6,0.68,5.16,4.76,0,7.7,4.034
11,3.58,6,4.57,4.82,0,7.4,5.45
12,7,4.3,4.61,4.65,0,6.7,4.853
13,26.2,0.6,5.07,5.1,0,7.5,4.257
14,11.67,1.8,4.66,5.09,0,8.2,5.144
15,7.67,6,5.42,4.41,0,5.8,3.718
16,12.25,4.4,5.01,4.74,0,7.1,4.715
17,0.76,88,4.97,4.66,1,6.5,4.625
18,1.35,62,4.01,4.72,1,8,4.977
19,1.44,50,4.96,4.9,1,6.8,4.322
20,1.6,58,5.2,4.7,1,8.2,5.087
21,1.1,90,4.8,4.6,1,6.6,5.971
22,0.85,66,4.98,4.69,1,6.4,4.647
23,1.2,140,5.35,4.76,1,7.3,5.115
24,0.56,240,5.04,4.8,1,7.8,5.939
25,0.72,420,4.8,4.8,1,7.4,5.916
26,0.47,500,4.83,4.6,1,6.7,5.471
27,0.33,180,4.66,4.72,1,7.2,4.602
28,0.26,270,4.67,4.5,1,6.3,5.043
29,0.76,170,4.72,4.7,1,6.8,5.075
30,0.8,98,5,5.07,1,7.2,4.334
31,2,35,4.7,4.8,1,7.7,5.705
