Index,Income,AdvertisingExpense
1,81464,3000
2,72661,3150
3,72344,3085
4,90743,5225
5,98588,5350
6,96507,6090
7,126574,8925
8,114133,9015
9,115814,8885
10,123181,8950
11,131434,9000
12,140564,11345
13,151352,12275
14,146926,12400
15,130963,12525
16,144630,12310
17,147041,13700
18,179021,15000
19,166200,15175
20,180732,14995
21,178187,15050
22,185304,15200
23,155931,15150
24,172579,16800
25,188851,16500
26,192424,17830
27,203112,19500
28,192482,19200
29,218715,19000
30,214317,19350
