"y","x","fit","res"
2158.7,15.5,2051.94169935527,106.758300644732
1678.15,23.75,1745.4245740598,-67.2745740597967
2316,8,2330.59363144205,-14.5936314420542
2061.3,17,1996.21131293791,65.0886870620932
2207.5,5.5,2423.47760880432,-215.977608804317
1708.3,19,1921.9041310481,-213.604131048097
1784.7,24,1736.13617632357,48.5638236764297
2575,2.5,2534.93838163903,40.061618360967
2357.9,7.5,2349.17042691451,8.72957308549325
2256.7,11,2219.13285860734,37.5671413926613
2165.2,13,2144.82567671753,20.3743232824718
2399.55,3.75,2488.4963929579,-88.9463929579013
1779.8,25,1698.98258537867,80.8174146213349
2336.75,9.75,2265.57484728847,71.1751527115299
1765.3,22,1810.44335821338,-45.1433582133808
2053.5,18,1959.057721993,94.4422780069982
2414.4,6,2404.90081333186,9.49918666813538
2200.5,12.5,2163.40247218998,37.0975278100194
2654.2,2,2553.51517711149,100.684822888514
1753.7,21.5,1829.02015368583,-75.3201536858334
